month,month_name,K,K_direct_median,sigma_Rnino34,sigma_rN34_raw,ratio_std,n,n_direct,baseline
1,Jan,1.094,1.0778,1.1727,1.072,0.1541,30,25,1991-2020
2,Feb,1.1053,1.1132,1.0218,0.9245,0.2165,30,22,1991-2020
3,Mar,1.0848,1.0967,0.7704,0.7101,0.2204,30,22,1991-2020
4,Apr,1.1488,1.0,0.6358,0.5535,0.2275,30,15,1991-2020
5,May,1.1694,1.1698,0.6088,0.5206,0.2483,30,17,1991-2020
6,Jun,1.1182,1.1304,0.5927,0.53,0.2603,30,17,1991-2020
7,Jul,1.1825,1.1684,0.7022,0.5938,0.223,30,16,1991-2020
8,Aug,1.1912,1.1727,0.8539,0.7168,0.1963,30,18,1991-2020
9,Sep,1.2706,1.2419,0.9346,0.7356,0.1626,30,21,1991-2020
10,Oct,1.1643,1.1303,1.0745,0.9228,0.2081,30,22,1991-2020
11,Nov,1.1103,1.1216,1.2187,1.0977,0.2252,30,24,1991-2020
12,Dec,1.1233,1.1098,1.2647,1.1259,0.2138,30,27,1991-2020
