date,latitude,longitude,lon_label,depth,doy,T_observed,T_climatology,anomaly,quality
2026-04-01,-4.000,65.000,65E,10.000,91,30.000,29.744,0.256,2
2026-04-01,-4.000,65.000,65E,40.000,91,29.840,27.285,2.555,2
2026-04-01,-4.000,65.000,65E,80.000,91,26.340,23.759,2.581,2
2026-04-01,-4.000,65.000,65E,100.000,91,18.090,20.091,-2.001,2
2026-04-01,-4.000,65.000,65E,120.000,91,16.680,17.546,-0.866,2
2026-04-01,-4.000,65.000,65E,140.000,91,16.200,16.247,-0.047,2
2026-04-01,-4.000,65.000,65E,180.000,91,15.190,14.610,0.580,2
2026-04-01,-4.000,65.000,65E,300.000,91,11.850,11.395,0.455,2
2026-04-01,-4.000,65.000,65E,500.000,91,9.390,9.128,0.262,2
2026-04-01,-4.000,80.500,80E,1.000,91,30.440,30.454,-0.014,2
2026-04-01,-4.000,80.500,80E,10.000,91,30.160,29.896,0.264,2
2026-04-01,-4.000,80.500,80E,20.000,91,30.130,29.741,0.389,2
2026-04-01,-4.000,80.500,80E,40.000,91,29.890,26.890,3.000,2
2026-04-01,-4.000,80.500,80E,60.000,91,29.080,24.556,4.524,2
2026-04-01,-4.000,80.500,80E,80.000,91,27.290,22.260,5.030,2
2026-04-01,-4.000,80.500,80E,100.000,91,23.570,19.779,3.791,2
2026-04-01,-4.000,80.500,80E,120.000,91,19.960,17.662,2.298,2
2026-04-01,-4.000,80.500,80E,140.000,91,18.030,16.205,1.825,2
2026-04-01,-4.000,80.500,80E,300.000,91,11.460,11.404,0.056,2
2026-04-01,-4.000,80.500,80E,500.000,91,9.520,9.227,0.293,2
2026-04-02,-4.000,65.000,65E,10.000,92,30.020,29.744,0.276,2
2026-04-02,-4.000,65.000,65E,40.000,92,29.740,27.285,2.455,2
2026-04-02,-4.000,65.000,65E,80.000,92,25.190,23.759,1.431,2
2026-04-02,-4.000,65.000,65E,100.000,92,18.410,20.091,-1.681,2
2026-04-02,-4.000,65.000,65E,120.000,92,16.750,17.546,-0.796,2
2026-04-02,-4.000,65.000,65E,140.000,92,16.310,16.247,0.063,2
2026-04-02,-4.000,65.000,65E,180.000,92,15.060,14.610,0.450,2
2026-04-02,-4.000,65.000,65E,300.000,92,11.880,11.395,0.485,2
2026-04-02,-4.000,65.000,65E,500.000,92,9.440,9.128,0.312,2
2026-04-02,-4.000,80.500,80E,1.000,92,30.460,30.454,0.006,2
2026-04-02,-4.000,80.500,80E,10.000,92,30.150,29.896,0.254,2
2026-04-02,-4.000,80.500,80E,20.000,92,30.160,29.741,0.419,2
2026-04-02,-4.000,80.500,80E,40.000,92,29.740,26.890,2.850,2
2026-04-02,-4.000,80.500,80E,60.000,92,28.520,24.556,3.964,2
2026-04-02,-4.000,80.500,80E,80.000,92,26.710,22.260,4.450,2
2026-04-02,-4.000,80.500,80E,100.000,92,22.420,19.779,2.641,2
2026-04-02,-4.000,80.500,80E,120.000,92,19.730,17.662,2.068,2
2026-04-02,-4.000,80.500,80E,140.000,92,18.030,16.205,1.825,2
2026-04-02,-4.000,80.500,80E,300.000,92,11.370,11.404,-0.034,2
2026-04-02,-4.000,80.500,80E,500.000,92,9.410,9.227,0.183,2
2026-04-03,-4.000,65.000,65E,10.000,93,29.970,29.744,0.226,2
2026-04-03,-4.000,65.000,65E,40.000,93,29.680,27.285,2.395,2
2026-04-03,-4.000,65.000,65E,80.000,93,27.320,23.759,3.561,2
2026-04-03,-4.000,65.000,65E,100.000,93,18.850,20.091,-1.241,2
2026-04-03,-4.000,65.000,65E,120.000,93,17.430,17.546,-0.116,2
2026-04-03,-4.000,65.000,65E,140.000,93,16.520,16.247,0.273,2
2026-04-03,-4.000,65.000,65E,180.000,93,15.320,14.610,0.710,2
2026-04-03,-4.000,65.000,65E,300.000,93,11.570,11.395,0.175,2
2026-04-03,-4.000,65.000,65E,500.000,93,9.400,9.128,0.272,2
2026-04-03,-4.000,80.500,80E,1.000,93,30.030,30.454,-0.424,2
2026-04-03,-4.000,80.500,80E,10.000,93,30.060,29.896,0.164,2
2026-04-03,-4.000,80.500,80E,20.000,93,30.050,29.741,0.309,2
2026-04-03,-4.000,80.500,80E,40.000,93,29.690,26.890,2.800,2
2026-04-03,-4.000,80.500,80E,60.000,93,28.600,24.556,4.044,2
2026-04-03,-4.000,80.500,80E,80.000,93,26.720,22.260,4.460,2
2026-04-03,-4.000,80.500,80E,100.000,93,22.760,19.779,2.981,2
2026-04-03,-4.000,80.500,80E,120.000,93,19.660,17.662,1.998,2
2026-04-03,-4.000,80.500,80E,140.000,93,18.380,16.205,2.175,2
2026-04-03,-4.000,80.500,80E,300.000,93,11.450,11.404,0.046,2
2026-04-03,-4.000,80.500,80E,500.000,93,9.420,9.227,0.193,2
2026-04-04,-4.000,65.000,65E,10.000,94,29.900,29.744,0.156,2
2026-04-04,-4.000,65.000,65E,40.000,94,29.820,27.285,2.535,2
2026-04-04,-4.000,65.000,65E,80.000,94,24.730,23.759,0.971,2
2026-04-04,-4.000,65.000,65E,100.000,94,18.930,20.091,-1.161,2
2026-04-04,-4.000,65.000,65E,120.000,94,17.340,17.546,-0.206,2
2026-04-04,-4.000,65.000,65E,140.000,94,16.460,16.247,0.213,2
2026-04-04,-4.000,65.000,65E,180.000,94,15.550,14.610,0.940,2
2026-04-04,-4.000,65.000,65E,300.000,94,11.520,11.395,0.125,2
2026-04-04,-4.000,65.000,65E,500.000,94,9.360,9.128,0.232,2
2026-04-04,-4.000,80.500,80E,1.000,94,29.900,30.454,-0.554,2
2026-04-04,-4.000,80.500,80E,10.000,94,29.890,29.896,-0.006,2
2026-04-04,-4.000,80.500,80E,20.000,94,29.800,29.741,0.059,2
2026-04-04,-4.000,80.500,80E,40.000,94,29.570,26.890,2.680,2
2026-04-04,-4.000,80.500,80E,60.000,94,28.640,24.556,4.084,2
2026-04-04,-4.000,80.500,80E,80.000,94,26.250,22.260,3.990,2
2026-04-04,-4.000,80.500,80E,100.000,94,23.500,19.779,3.721,2
2026-04-04,-4.000,80.500,80E,120.000,94,20.470,17.662,2.808,2
2026-04-04,-4.000,80.500,80E,140.000,94,18.570,16.205,2.365,2
2026-04-04,-4.000,80.500,80E,300.000,94,11.330,11.404,-0.074,2
2026-04-04,-4.000,80.500,80E,500.000,94,9.420,9.227,0.193,2
2026-04-05,-4.000,65.000,65E,10.000,95,29.940,29.744,0.196,2
2026-04-05,-4.000,65.000,65E,40.000,95,29.840,27.285,2.555,2
2026-04-05,-4.000,65.000,65E,80.000,95,26.370,23.759,2.611,2
2026-04-05,-4.000,65.000,65E,100.000,95,18.400,20.091,-1.691,2
2026-04-05,-4.000,65.000,65E,120.000,95,16.940,17.546,-0.606,2
2026-04-05,-4.000,65.000,65E,140.000,95,16.200,16.247,-0.047,2
2026-04-05,-4.000,65.000,65E,180.000,95,15.360,14.610,0.750,2
2026-04-05,-4.000,65.000,65E,300.000,95,11.880,11.395,0.485,2
2026-04-05,-4.000,65.000,65E,500.000,95,9.420,9.128,0.292,2
2026-04-05,-4.000,80.500,80E,1.000,95,29.900,30.454,-0.554,2
2026-04-05,-4.000,80.500,80E,10.000,95,29.840,29.896,-0.056,2
2026-04-05,-4.000,80.500,80E,20.000,95,29.850,29.741,0.109,2
2026-04-05,-4.000,80.500,80E,40.000,95,29.340,26.890,2.450,2
2026-04-05,-4.000,80.500,80E,60.000,95,28.900,24.556,4.344,2
2026-04-05,-4.000,80.500,80E,80.000,95,25.490,22.260,3.230,2
2026-04-05,-4.000,80.500,80E,100.000,95,21.800,19.779,2.021,2
2026-04-05,-4.000,80.500,80E,120.000,95,19.320,17.662,1.658,2
2026-04-05,-4.000,80.500,80E,140.000,95,18.010,16.205,1.805,2
2026-04-05,-4.000,80.500,80E,300.000,95,11.130,11.404,-0.274,2
2026-04-05,-4.000,80.500,80E,500.000,95,9.260,9.227,0.033,2
2026-04-06,-4.000,65.000,65E,10.000,96,29.810,29.744,0.066,2
2026-04-06,-4.000,65.000,65E,40.000,96,29.800,27.285,2.515,2
2026-04-06,-4.000,65.000,65E,80.000,96,28.390,23.759,4.631,2
2026-04-06,-4.000,65.000,65E,100.000,96,18.630,20.091,-1.461,2
2026-04-06,-4.000,65.000,65E,120.000,96,16.690,17.546,-0.856,2
2026-04-06,-4.000,65.000,65E,140.000,96,16.050,16.247,-0.197,2
2026-04-06,-4.000,65.000,65E,180.000,96,14.950,14.610,0.340,2
2026-04-06,-4.000,65.000,65E,300.000,96,11.270,11.395,-0.125,2
2026-04-06,-4.000,65.000,65E,500.000,96,9.340,9.128,0.212,2
2026-04-06,-4.000,80.500,80E,1.000,96,30.330,30.454,-0.124,2
2026-04-06,-4.000,80.500,80E,10.000,96,29.960,29.896,0.064,2
2026-04-06,-4.000,80.500,80E,20.000,96,29.950,29.741,0.209,2
2026-04-06,-4.000,80.500,80E,40.000,96,29.830,26.890,2.940,2
2026-04-06,-4.000,80.500,80E,60.000,96,28.450,24.556,3.894,2
2026-04-06,-4.000,80.500,80E,80.000,96,24.780,22.260,2.520,2
2026-04-06,-4.000,80.500,80E,100.000,96,20.830,19.779,1.051,2
2026-04-06,-4.000,80.500,80E,120.000,96,18.970,17.662,1.308,2
2026-04-06,-4.000,80.500,80E,140.000,96,17.150,16.205,0.945,2
2026-04-06,-4.000,80.500,80E,300.000,96,11.220,11.404,-0.184,2
2026-04-06,-4.000,80.500,80E,500.000,96,9.340,9.227,0.113,2
2026-04-07,-4.000,65.000,65E,10.000,97,29.870,29.744,0.126,2
2026-04-07,-4.000,65.000,65E,40.000,97,29.640,27.285,2.355,2
2026-04-07,-4.000,65.000,65E,80.000,97,27.790,23.759,4.031,2
2026-04-07,-4.000,65.000,65E,100.000,97,19.310,20.091,-0.781,2
2026-04-07,-4.000,65.000,65E,120.000,97,17.270,17.546,-0.276,2
2026-04-07,-4.000,65.000,65E,140.000,97,16.310,16.247,0.063,2
2026-04-07,-4.000,65.000,65E,180.000,97,15.220,14.610,0.610,2
2026-04-07,-4.000,65.000,65E,300.000,97,11.640,11.395,0.245,2
2026-04-07,-4.000,65.000,65E,500.000,97,9.390,9.128,0.262,2
2026-04-07,-4.000,80.500,80E,1.000,97,29.800,30.454,-0.654,2
2026-04-07,-4.000,80.500,80E,10.000,97,29.950,29.896,0.054,2
2026-04-07,-4.000,80.500,80E,20.000,97,29.910,29.741,0.169,2
2026-04-07,-4.000,80.500,80E,40.000,97,29.890,26.890,3.000,2
2026-04-07,-4.000,80.500,80E,60.000,97,28.190,24.556,3.634,2
2026-04-07,-4.000,80.500,80E,80.000,97,25.040,22.260,2.780,2
2026-04-07,-4.000,80.500,80E,100.000,97,22.010,19.779,2.231,2
2026-04-07,-4.000,80.500,80E,120.000,97,19.720,17.662,2.058,2
2026-04-07,-4.000,80.500,80E,140.000,97,18.190,16.205,1.985,2
2026-04-07,-4.000,80.500,80E,300.000,97,11.480,11.404,0.076,2
2026-04-07,-4.000,80.500,80E,500.000,97,9.630,9.227,0.403,2
2026-04-08,-4.000,65.000,65E,10.000,98,29.990,29.744,0.246,2
2026-04-08,-4.000,65.000,65E,40.000,98,29.610,27.285,2.325,2
2026-04-08,-4.000,65.000,65E,80.000,98,26.840,23.759,3.081,2
2026-04-08,-4.000,65.000,65E,100.000,98,19.440,20.091,-0.651,2
2026-04-08,-4.000,65.000,65E,120.000,98,17.230,17.546,-0.316,2
2026-04-08,-4.000,65.000,65E,140.000,98,16.130,16.247,-0.117,2
2026-04-08,-4.000,65.000,65E,180.000,98,15.040,14.610,0.430,2
2026-04-08,-4.000,65.000,65E,300.000,98,11.600,11.395,0.205,2
2026-04-08,-4.000,65.000,65E,500.000,98,9.440,9.128,0.312,2
2026-04-08,-4.000,80.500,80E,1.000,98,29.940,30.454,-0.514,2
2026-04-08,-4.000,80.500,80E,10.000,98,29.910,29.896,0.014,2
2026-04-08,-4.000,80.500,80E,20.000,98,29.900,29.741,0.159,2
2026-04-08,-4.000,80.500,80E,40.000,98,29.830,26.890,2.940,2
2026-04-08,-4.000,80.500,80E,60.000,98,29.110,24.556,4.554,2
2026-04-08,-4.000,80.500,80E,80.000,98,25.180,22.260,2.920,2
2026-04-08,-4.000,80.500,80E,100.000,98,22.100,19.779,2.321,2
2026-04-08,-4.000,80.500,80E,120.000,98,19.950,17.662,2.288,2
2026-04-08,-4.000,80.500,80E,140.000,98,18.130,16.205,1.925,2
2026-04-08,-4.000,80.500,80E,300.000,98,11.430,11.404,0.026,2
2026-04-08,-4.000,80.500,80E,500.000,98,9.480,9.227,0.253,2
2026-04-09,-4.000,65.000,65E,10.000,99,29.960,29.744,0.216,2
2026-04-09,-4.000,65.000,65E,80.000,99,25.870,23.759,2.111,2
2026-04-09,-4.000,65.000,65E,100.000,99,18.850,20.091,-1.241,2
