month,day,date,file,preliminary,nino12,nino3,nino34,nino4,grad_4_minus_12,grad_4_minus_3,grad_34_minus_12,grad_4_minus_34,nino12_clim,nino3_clim,nino34_clim,nino4_clim,nino12_anom,nino3_anom,nino34_anom,nino4_anom,nino12_anom_corrected,nino3_anom_corrected,nino34_anom_corrected,nino4_anom_corrected,tropical_mean_ssta,nino12_rssta,nino3_rssta,nino34_rssta,nino4_rssta,grad_4_12_clim,grad_4_3_clim,grad_34_12_clim,grad_4_34_clim,grad_4_12_anom,grad_4_3_anom,grad_34_12_anom,grad_4_34_anom
3,29,2026-03-29,oisst-avhrr-v02r01.20260329.nc,False,27.549257278442383,27.410249710083008,27.554439544677734,28.956592559814453,1.4073352813720703,1.5463428497314453,0.0051822662353515625,1.4021530151367188,26.353237,27.435217,27.495125,28.321445,1.1960202784423828,-0.024967289916993707,0.05931454467773278,0.6351475598144525,1.1377254316685264,0.0019741975411539103,0.07553342170758746,0.6375447721121646,0.425,0.7127254316685263,-0.4230258024588461,-0.3494665782924125,0.21254477211216466,1.9682080000000006,0.8862279999999991,1.1418880000000016,0.826319999999999,-0.5608727186279303,0.6601148497314462,-1.13670573376465,0.5758330151367197
3,30,2026-03-30,oisst-avhrr-v02r01.20260330.nc,False,27.49968910217285,27.454004287719727,27.5742244720459,28.910343170166016,1.410654067993164,1.456338882446289,0.07453536987304688,1.3361186981201172,26.375721,27.44545,27.496864,28.324347,1.123968102172853,0.00855428771972555,0.0773604720458998,0.5859961701660161,1.0656732553989965,0.03549577517787317,0.09357934907575448,0.5883933824637283,0.425,0.6406732553989964,-0.3895042248221268,-0.3314206509242455,0.1633933824637283,1.9486260000000009,0.8788969999999985,1.121143,0.8274830000000009,-0.5379719320068368,0.5774418824462906,-1.0466076301269531,0.5086356981201163
3,31,2026-03-31,oisst-avhrr-v02r01.20260331.nc,False,27.44695281982422,27.511945724487305,27.591236114501953,28.88323402404785,1.4362812042236328,1.3712882995605469,0.14428329467773438,1.2919979095458984,26.37602,27.458618,27.516047,28.333281,1.0709328198242183,0.053327724487303385,0.07518911450195276,0.5499530240478521,1.0126379730503619,0.080269211945451,0.09140799153180744,0.5523502363455642,0.425,0.5876379730503618,-0.344730788054549,-0.33359200846819254,0.12735023634556425,1.957260999999999,0.8746629999999982,1.140027,0.8172339999999991,-0.5209797957763662,0.4966252995605487,-0.9957437053222655,0.4747639095458993
4,1,2026-04-01,oisst-avhrr-v02r01.20260401.nc,False,27.45643424987793,27.557842254638672,27.607690811157227,28.854354858398438,1.3979206085205078,1.2965126037597656,0.15125656127929688,1.246664047241211,26.334335,27.470602,27.546875,28.346556,1.1220992498779303,0.08724025463867235,0.06081581115722656,0.5077988583984379,1.0638044031040739,0.11418174209681997,0.07703468818708124,0.51019607069615,0.425,0.6388044031040738,-0.31081825790318,-0.34796531181291873,0.08519607069615004,2.0122210000000003,0.8759540000000001,1.2125400000000006,0.7996809999999996,-0.6143003914794924,0.4205586037597655,-1.0612834387207037,0.4469830472412113
4,2,2026-04-02,oisst-avhrr-v02r01.20260402.nc,False,27.4781551361084,27.585063934326172,27.62940216064453,28.89496421813965,1.41680908203125,1.3099002838134766,0.1512470245361328,1.2655620574951172,26.267117,27.490599,27.565357,28.339336,1.2110381361083995,0.09446493432617231,0.06404516064453247,0.555628218139649,1.152743289334543,0.12140642178431993,0.08026403767438715,0.5580254304373612,0.425,0.727743289334543,-0.30359357821568006,-0.3447359623256128,0.1330254304373612,2.0722190000000005,0.8487369999999999,1.2982399999999998,0.7739790000000006,-0.6554099179687505,0.4611632838134767,-1.146992975463867,0.49158305749511655
4,3,2026-04-03,oisst-avhrr-v02r01.20260403.nc,False,27.430158615112305,27.613740921020508,27.665817260742188,28.92608642578125,1.4959278106689453,1.3123455047607422,0.2356586456298828,1.2602691650390625,26.188742,27.502081,27.578608,28.343271,1.2414166151123034,0.11165992102050737,0.08720926074218838,0.5828154257812486,1.183121768338447,0.13860140847865499,0.10342813777204306,0.5852126380789607,0.425,0.7581217683384469,-0.286398591521345,-0.3215718622279569,0.16021263807896075,2.154529,0.841190000000001,1.3898659999999978,0.7646630000000023,-0.6586011893310548,0.4711555047607412,-1.154207354370115,0.4956061650390602
4,4,2026-04-04,oisst-avhrr-v02r01.20260404.nc,False,27.401683807373047,27.644317626953125,27.709678649902344,28.961217880249023,1.5595340728759766,1.3169002532958984,0.3079948425292969,1.2515392303466797,26.081345,27.50518,27.596394,28.359179,1.320338807373048,0.1391376269531257,0.11328464990234366,0.6020388802490224,1.2620439605991915,0.16607911441127332,0.12950352693219835,0.6044360925467346,0.425,0.8370439605991915,-0.25892088558872667,-0.29549647306780163,0.1794360925467346,2.277834000000002,0.8539990000000017,1.5150490000000012,0.7627850000000009,-0.7182999271240256,0.4629012532958967,-1.2070541574707043,0.48875423034667875
4,5,2026-04-05,oisst-avhrr-v02r01.20260405.nc,False,27.41445541381836,27.672380447387695,27.764238357543945,28.981836318969727,1.5673809051513672,1.3094558715820312,0.34978294372558594,1.2175979614257812,26.004057,27.520802,27.633671,28.379032,1.4103984138183598,0.15157844738769555,0.13056735754394566,0.6028043189697279,1.3521035670445034,0.17851993484584316,0.14678623457380036,0.60520153126744,0.425,0.9271035670445034,-0.24648006515415682,-0.27821376542619963,0.18020153126744004,2.374974999999999,0.8582299999999989,1.6296140000000001,0.745360999999999,-0.807594094848632,0.4512258715820323,-1.2798310562744142,0.4722369614257822
4,6,2026-04-06,oisst-avhrr-v02r01.20260406.nc,False,27.484573364257812,27.691246032714844,27.820438385009766,28.995323181152344,1.5107498168945312,1.3040771484375,0.3358650207519531,1.1748847961425781,25.93713,27.535521,27.671551,28.408987,1.5474433642578127,0.1557250327148445,0.14888738500976473,0.586336181152344,1.4891485174839563,0.18266652017299212,0.16510626203961942,0.5887333934500562,0.425,1.0641485174839562,-0.24233347982700787,-0.25989373796038057,0.16373339345005616,2.471857,0.8734660000000005,1.734421000000001,0.7374359999999989,-0.9611071831054687,0.4306111484374995,-1.398555979248048,0.43744879614257925
4,7,2026-04-07,oisst-avhrr-v02r01.20260407.nc,False,27.538185119628906,27.72458839416504,27.868501663208008,29.004640579223633,1.4664554595947266,1.2800521850585938,0.33031654357910156,1.136138916015625,25.861568,27.535709,27.690529,28.440166,1.676617119628908,0.1888793941650384,0.1779726632080063,0.5644745792236314,1.6183222728550515,0.21582088162318602,0.194191540237861,0.5668717915213436,0.425,1.1933222728550514,-0.20917911837681397,-0.23080845976213898,0.1418717915213436,2.578598000000003,0.9044570000000007,1.8289610000000032,0.7496369999999999,-1.1121425404052765,0.375595185058593,-1.4986444564209016,0.3865019160156251
4,8,2026-04-08,oisst-avhrr-v02r01.20260408.nc,False,27.507490158081055,27.767236709594727,27.903467178344727,29.013216018676758,1.5057258605957031,1.2459793090820312,0.3959770202636719,1.1097488403320312,25.789223,27.548298,27.715429,28.465843,1.718267158081055,0.2189387095947275,0.18803817834472625,0.5473730186767582,1.6599723113071985,0.24588019705287512,0.20425705537458094,0.5497702309744704,0.425,1.2349723113071984,-0.17911980294712487,-0.22074294462541905,0.12477023097447043,2.6766199999999998,0.9175450000000005,1.9262060000000005,0.7504139999999992,-1.1708941394042967,0.32843430908203075,-1.5302289797363287,0.359334840332032
