date,latitude,longitude,lon_label,depth,doy,T_observed,T_climatology,anomaly,quality
2026-04-01,-5.000,165.000,165E,1.000,91,29.952,29.220,0.732,2
2026-04-01,-5.000,165.000,165E,25.000,91,29.970,29.050,0.920,2
2026-04-01,-5.000,165.000,165E,50.000,91,30.190,28.910,1.280,2
2026-04-01,-5.000,165.000,165E,75.000,91,29.904,28.500,1.404,2
2026-04-01,-5.000,165.000,165E,100.000,91,29.480,27.820,1.660,2
2026-04-01,-5.000,165.000,165E,125.000,91,29.098,26.210,2.888,2
2026-04-01,-5.000,165.000,165E,150.000,91,28.248,24.030,4.218,2
2026-04-01,-5.000,165.000,165E,200.000,91,23.116,17.630,5.486,2
2026-04-01,-5.000,165.000,165E,250.000,91,15.369,12.810,2.559,2
2026-04-01,-5.000,165.000,165E,300.000,91,11.063,11.220,-0.157,2
2026-04-01,-5.000,165.000,165E,500.000,91,7.818,8.280,-0.462,2
2026-04-01,-5.000,190.000,170W,1.000,91,29.281,28.190,1.091,2
2026-04-01,-5.000,190.000,170W,25.000,91,29.218,28.130,1.088,2
2026-04-01,-5.000,190.000,170W,50.000,91,28.982,27.850,1.132,2
2026-04-01,-5.000,190.000,170W,75.000,91,28.670,27.590,1.080,2
2026-04-01,-5.000,190.000,170W,100.000,91,28.246,26.530,1.716,2
2026-04-01,-5.000,190.000,170W,125.000,91,27.459,25.170,2.289,2
2026-04-01,-5.000,190.000,170W,150.000,91,26.518,21.990,4.528,2
2026-04-01,-5.000,190.000,170W,200.000,91,20.333,14.850,5.483,2
2026-04-01,-5.000,190.000,170W,250.000,91,14.016,11.900,2.116,2
2026-04-01,-5.000,190.000,170W,300.000,91,11.369,10.810,0.559,2
2026-04-01,-5.000,190.000,170W,500.000,91,8.142,8.270,-0.128,2
2026-04-01,-5.000,220.000,140W,1.000,91,28.075,27.310,0.765,2
2026-04-01,-5.000,220.000,140W,5.000,91,28.027,26.941,1.086,2
2026-04-01,-5.000,220.000,140W,10.000,91,27.990,26.480,1.510,2
2026-04-01,-5.000,220.000,140W,15.000,91,27.984,26.277,1.707,2
2026-04-01,-5.000,220.000,140W,20.000,91,27.979,26.073,1.906,2
2026-04-01,-5.000,220.000,140W,25.000,91,27.975,25.870,2.105,2
2026-04-01,-5.000,220.000,140W,30.000,91,27.972,25.682,2.290,2
2026-04-01,-5.000,220.000,140W,40.000,91,27.940,25.306,2.634,2
2026-04-01,-5.000,220.000,140W,50.000,91,27.682,24.930,2.752,2
2026-04-01,-5.000,220.000,140W,60.000,91,26.826,24.694,2.132,2
2026-04-01,-5.000,220.000,140W,80.000,91,25.801,23.764,2.037,2
2026-04-01,-5.000,220.000,140W,100.000,91,24.199,21.460,2.739,2
2026-04-01,-5.000,220.000,140W,125.000,91,20.025,18.230,1.795,2
2026-04-01,-5.000,220.000,140W,150.000,91,16.198,16.553,-0.355,2
2026-04-01,-5.000,220.000,140W,200.000,91,13.036,13.200,-0.164,2
2026-04-01,-5.000,220.000,140W,250.000,91,11.729,12.330,-0.601,2
2026-04-01,-5.000,220.000,140W,300.000,91,11.020,10.990,0.030,2
2026-04-01,-5.000,250.000,110W,1.000,91,27.893,27.360,0.533,2
2026-04-01,-5.000,250.000,110W,5.000,91,27.866,26.458,1.408,2
2026-04-01,-5.000,250.000,110W,10.000,91,27.825,25.330,2.495,2
2026-04-01,-5.000,250.000,110W,20.000,91,27.077,23.797,3.280,2
2026-04-01,-5.000,250.000,110W,25.000,91,23.993,23.030,0.963,2
2026-04-01,-5.000,250.000,110W,30.000,91,21.052,22.950,-1.898,2
2026-04-01,-5.000,250.000,110W,40.000,91,17.960,22.790,-4.830,2
2026-04-01,-5.000,250.000,110W,50.000,91,15.963,22.630,-6.667,2
2026-04-01,-5.000,250.000,110W,60.000,91,15.138,20.146,-5.008,2
2026-04-01,-5.000,250.000,110W,80.000,91,14.184,16.076,-1.892,2
2026-04-01,-5.000,250.000,110W,100.000,91,13.715,14.700,-0.985,2
2026-04-01,-5.000,250.000,110W,125.000,91,13.414,13.750,-0.336,2
2026-04-01,-5.000,250.000,110W,150.000,91,13.195,13.800,-0.605,2
2026-04-01,-5.000,250.000,110W,200.000,91,12.918,13.060,-0.142,2
2026-04-01,-5.000,250.000,110W,250.000,91,12.549,12.520,0.029,2
2026-04-01,-5.000,250.000,110W,300.000,91,12.095,11.440,0.655,2
2026-04-01,-5.000,250.000,110W,500.000,91,9.161,8.190,0.971,2
2026-04-01,-2.000,165.000,165E,1.000,91,30.106,29.220,0.886,2
2026-04-01,-2.000,165.000,165E,5.000,91,30.167,29.056,1.111,2
2026-04-01,-2.000,165.000,165E,15.000,91,30.163,28.917,1.246,2
2026-04-01,-2.000,165.000,165E,20.000,91,30.173,28.983,1.190,2
2026-04-01,-2.000,165.000,165E,25.000,91,30.171,29.050,1.121,2
2026-04-01,-2.000,165.000,165E,30.000,91,30.181,29.022,1.159,2
2026-04-01,-2.000,165.000,165E,40.000,91,30.182,28.966,1.216,2
